theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
-0.82,1082.66667,854.666667,1120.8,868.8,1233.6,984.8,996,780,1053.6,819.2,1097.33333,861.493333
-0.83,1097.33333,861.333333,1141.6,881.6,1254.4,995.2,1014,790,1070.4,828.8,1115.54667,871.386667
-0.84,1112,868,1162.4,894.4,1275.2,1005.6,1032,800,1087.2,838.4,1133.76,881.28
-0.85,1160,900,1183.2,907.2,1296,1016,1054,814,1104,848,1159.44,897.04
-0.86,1174.66667,906.666667,1204,920,1322,1036,1076,828,1148,880,1184.93333,914.133333
-0.87,1189.33333,913.333333,1232,938,1348,1056,1092,837.333333,1168,889.333333,1205.86667,926.8
-0.88,1204,920,1260,956,1382,1076,1108,846.666667,1188,898.666667,1228.4,939.466667
-0.89,1232,938,1290,976,1416,1096,1124,856,1208,908,1254,954.8
-0.9,1260,956,1320,996,1450,1118,1154,872,1240,930,1284.8,974.4
-0.91,1290,976,1345.33333,1008,1484,1140,1184,888,1272,952,1315.06667,992.8
-0.92,1320,996,1370.66667,1020,1520,1166,1214,908,1306,972,1346.13333,1012.4
-0.93,1353,1015,1396,1032,1556,1192,1244,928,1340,992,1377.8,1031.8
-0.94,1386,1034,1434,1056,1590.4,1213.6,1265.33333,940,1375,1015,1410.14667,1051.72
-0.95,1419,1053,1472,1080,1624.8,1235.2,1286.66667,952,1410,1038,1442.49333,1071.64
-0.96,1452,1072,1510,1104,1659.2,1256.8,1308,964,1445,1061,1474.84,1091.56
-0.97,1480,1092,1548,1128,1693.6,1278.4,1344,986,1480,1084,1509.12,1113.68
-0.98,1508,1112,1590,1152,1728,1300,1380,1008,1508,1101.33333,1542.8,1134.66667
-0.99,1537.33333,1128,1632,1176,1778,1330,1416,1034,1536,1118.66667,1579.86667,1157.33333
-1,1566.66667,1144,1672,1206,1828,1360,1452,1060,1564,1136,1616.53333,1181.2
-1.01,1596,1160,1712,1236,1882,1440,1482.66667,1074.66667,1618,1162,1658.13333,1214.53333
-1.02,1640,1186,1774,1268,1936,1520,1513.33333,1089.33333,1672,1188,1707.06667,1250.26667
-1.03,1684,1212,1836,1300,1998,1506,1544,1104,1700,1209.33333,1752.4,1266.26667
-1.04,1728,1244,1870.66667,1322.66667,2060,1492,1582,1130,1728,1230.66667,1793.73333,1283.86667
-1.05,1772,1276,1905.33333,1345.33333,2122,1530,1620,1156,1756,1252,1835.06667,1311.86667
