x,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
8,408,420,374.468085,377.87234,372.765957,384.680851,773.448276,1331.05747,388.085106,388.085106,463.353485,580.339154
8.1,413.47027,425.47027,379.148936,382.595745,377.425532,389.489362,774.896552,1327.44828,392.93617,392.93617,467.575492,583.587965
8.2,418.940541,430.940541,383.829787,387.319149,382.085106,394.297872,776.344828,1323.83908,397.787234,397.787234,471.797499,586.836775
8.3,424.410811,436.410811,388.510638,392.042553,386.744681,399.106383,777.793103,1320.22989,402.638298,402.638298,476.019506,590.085586
8.4,429.881081,441.881081,393.191489,396.765957,391.404255,403.914894,779.241379,1316.62069,407.489362,407.489362,480.241513,593.334397
8.5,435.351351,447.351351,397.87234,401.489362,396.06383,408.723404,780.689655,1313.01149,412.340426,412.340426,484.46352,596.583207
8.6,440.821622,452.821622,402.553191,406.212766,400.723404,413.531915,782.137931,1309.4023,417.191489,417.191489,488.685528,599.832018
8.7,446.291892,458.291892,407.234043,410.93617,405.382979,418.340426,783.586207,1305.7931,422.042553,422.042553,492.907535,603.080829
8.8,451.762162,463.762162,411.914894,415.659574,410.042553,423.148936,785.034483,1302.18391,426.893617,426.893617,497.129542,606.32964
8.9,457.232432,469.232432,416.595745,420.382979,414.702128,427.957447,786.482759,1298.57471,431.744681,431.744681,501.351549,609.57845
9,462.702703,474.702703,421.276596,425.106383,419.361702,432.765957,787.931034,1294.96552,436.595745,436.595745,505.573556,612.827261
9.1,468.172973,480.172973,425.957447,429.829787,424.021277,437.574468,789.37931,1291.35632,441.446809,441.446809,509.795563,616.076072
9.2,473.643243,485.643243,430.638298,434.553191,428.680851,442.382979,790.827586,1287.74713,446.297872,446.297872,514.01757,619.324882
9.3,479.113514,491.113514,435.319149,439.276596,433.340426,447.191489,792.275862,1284.13793,451.148936,451.148936,518.239577,622.573693
9.4,484.583784,496.583784,440,444,438,452,793.724138,1280.52874,456,456,522.461584,625.822504
9.5,490.054054,502.054054,443.809524,447.428571,442.659574,456.808511,795.172414,1276.91954,462.203704,462.074074,526.779854,629.05695
9.6,495.524324,507.524324,447.619048,450.857143,447.319149,461.617021,796.62069,1273.31034,468.407407,468.148148,531.098124,632.291396
9.7,500.994595,512.994595,451.428571,454.285714,451.978723,466.425532,798.068966,1269.70115,474.611111,474.222222,535.416393,635.525842
9.8,506.464865,518.464865,455.238095,457.714286,456.638298,471.234043,799.517241,1266.09195,480.814815,480.296296,539.734663,638.760289
9.9,511.935135,523.935135,459.047619,461.142857,461.297872,476.042553,800.965517,1262.48276,487.018519,486.37037,544.052932,641.994735
10,517.405405,529.405405,462.857143,464.571429,465.957447,480.851064,802.413793,1258.87356,493.222222,492.444444,548.371202,645.229181
10.1,522.875676,534.875676,466.666667,468,470.617021,485.659574,803.862069,1255.26437,499.425926,498.518519,552.689472,648.463627
10.2,528.345946,540.345946,470.47619,471.428571,475.276596,490.468085,805.310345,1251.65517,505.62963,504.592593,557.007741,651.698073
10.3,533.816216,545.816216,474.285714,474.857143,479.93617,495.276596,806.758621,1248.04598,511.833333,510.666667,561.326011,654.93252
10.4,539.286486,551.286486,478.095238,478.285714,484.595745,500.085106,808.206897,1244.43678,518.037037,516.740741,565.644281,658.166966
10.5,544.756757,556.756757,481.904762,481.714286,489.255319,504.893617,809.655172,1240.82759,524.240741,522.814815,569.96255,661.401412
10.6,550.227027,562.227027,485.714286,485.142857,493.914894,509.702128,811.103448,1237.21839,530.444444,528.888889,574.28082,664.635858
10.7,555.697297,567.697297,489.52381,488.571429,498.574468,514.510638,812.551724,1233.6092,536.648148,534.962963,578.599089,667.870305
10.8,561.167568,573.167568,493.333333,492,503.234043,519.319149,814,1230,542.851852,541.037037,582.917359,671.104751
10.9,566.637838,578.637838,497.142857,495.428571,507.893617,524.12766,815.448276,1226.3908,549.055556,547.111111,587.235629,674.339197
11,572.108108,584.108108,500.952381,498.857143,512.553191,528.93617,816.896552,1222.78161,555.259259,553.185185,591.553898,677.573643
11.1,577.578378,589.578378,504.761905,502.285714,517.212766,533.744681,818.344828,1219.17241,561.462963,559.259259,595.872168,680.808089
11.2,583.048649,595.048649,508.571429,505.714286,521.87234,538.553191,819.793103,1215.56322,567.666667,565.333333,600.190438,684.042536
11.3,588.518919,600.518919,512.380952,509.142857,526.531915,543.361702,821.241379,1211.95402,573.87037,571.407407,604.508707,687.276982
11.4,593.989189,605.989189,516.190476,512.571429,531.191489,548.170213,822.689655,1208.34483,580.074074,577.481481,608.826977,690.511428
11.5,599.459459,611.459459,520,516,535.851064,552.978723,824.137931,1204.73563,586.277778,583.555556,613.145246,693.745874
11.6,604.92973,616.92973,524.787879,520.666667,540.510638,557.787234,825.586207,1201.12644,592.481481,589.62963,617.659187,697.227939
11.7,610.4,622.4,529.575758,525.333333,545.170213,562.595745,827.034483,1197.51724,598.685185,595.703704,622.173128,700.710005
11.8,615.87027,627.87027,534.363636,530,549.829787,567.404255,828.482759,1193.90805,604.888889,601.777778,626.687068,704.19207
11.9,621.340541,633.340541,539.151515,534.666667,554.489362,572.212766,829.931034,1190.29885,611.092593,607.851852,631.201009,707.674135
12,626.810811,638.810811,543.939394,539.333333,559.148936,577.021277,831.37931,1186.68966,617.296296,613.925926,635.71495,711.1562
12.1,632.281081,644.281081,548.727273,544,563.808511,581.829787,832.827586,1183.08046,623.5,620,640.22889,714.638266
12.2,637.751351,649.751351,553.515152,548.666667,568.468085,586.638298,834.275862,1179.47126,629.703704,626.074074,644.742831,718.120331
12.3,643.221622,655.221622,558.30303,553.333333,573.12766,591.446809,835.724138,1175.86207,635.907407,632.148148,649.256771,721.602396
12.4,648.691892,660.691892,563.090909,558,577.787234,596.255319,837.172414,1172.25287,642.111111,638.222222,653.770712,725.084461
12.5,654.162162,666.162162,567.878788,562.666667,582.446809,601.06383,838.62069,1168.64368,648.314815,644.296296,658.284653,728.566527
12.6,659.632432,671.632432,572.666667,567.333333,587.106383,605.87234,840.068966,1165.03448,654.518519,650.37037,662.798593,732.048592
