theta,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
-0.96,4464.8,3824,4004,3420,4562,3796,4857.6,4061.6,4143,3543,4406.28,3728.92
-0.97,4536,3788,4062,3458,4652,3848,4936,4108,4228,3612,4482.8,3762.8
-0.98,4700,3896,4120,3496,4748,3908,5040,4172,4272,3617.33333,4576,3817.86667
-0.99,4766.66667,3938.66667,4190,3536,4844,3968,5144,4236,4316,3622.66667,4652.13333,3860.26667
-1,4833.33333,3981.33333,4260,3576,4920,4014.66667,5278,4320,4360,3628,4730.26667,3904
-1.01,4900,4024,4312,3605.33333,4996,4061.33333,5412,4404,4452,3696,4814.4,3958.13333
-1.02,5034,4108,4364,3634.66667,5072,4108,5556,4486,4544,3764,4914,4020.13333
-1.03,5168,4192,4416,3664,5208,4186,5700,4568,4654,3810,5029.2,4084
-1.04,5265.33333,4249.33333,4508,3720,5344,4264,5796,4664,4764,3856,5135.46667,4150.66667
-1.05,5362.66667,4306.66667,4600,3776,5496,4354,5892,4760,4898,3942,5249.73333,4227.73333
-1.06,5460,4364,4680,3830,5648,4444,5988,4856,5032,4028,5361.6,4304.4
,,,4760,3884,,,,,,,4760,3884
